x,y,z
0.005326193,0.001974232,0.0036703
0.011454835,0.001080259,-0.003508761
0.018429548,0.000279878,-0.031362191
0.021499468,-0.000684551,-0.066282272
0.023714604,2.55E-05,-0.091022976
0.02495829,-0.002170322,-0.124140397
0.024342261,-0.002764785,-0.151029155
0.023920517,-0.003560916,-0.147388637
0.025058724,-0.003404836,-0.174349159
0.025398577,-0.001103119,-0.181893632
0.03041485,-0.002760954,-0.183326259
0.041084625,-0.002393746,-0.207204804
0.052148949,-0.002173935,-0.178015128
0.066671342,-0.001887339,-0.196199566
0.081273727,0.000890621,-0.199323893
0.094542854,0.000728032,-0.177358881
0.108735792,-0.001006609,-0.193956316
0.121866733,-0.001801623,-0.184151664
0.134493157,-0.003734546,-0.190372273
0.14503637,-0.006965586,-0.200261071
0.154714078,-0.006049188,-0.1868027
0.167439505,-0.005479458,-0.196807161
0.177394375,-0.006100657,-0.194263369
0.191526502,-0.005531983,-0.184122011
0.206221029,-0.005471241,-0.196455941
0.218802914,-0.007746004,-0.197020799
0.2308608,-0.009294609,-0.183245048
0.246009618,-0.008193148,-0.195025697
0.2589221,-0.012757539,-0.187089354
0.278048992,-0.015436291,-0.203722671
0.292348474,-0.013800489,-0.196875542
0.304728746,-0.013305007,-0.185536444
0.320515305,-0.010923756,-0.20438987
0.331093341,-0.012583375,-0.197625726
0.344024479,-0.011758026,-0.20821774
0.357205629,-0.010693707,-0.207393497
0.369827092,-0.009232885,-0.190279871
0.383983105,-0.011272687,-0.204583734
0.395506889,-0.010411305,-0.202706456
0.407997549,-0.008776135,-0.192330167
0.422368556,-0.010850364,-0.201810628
0.437198281,-0.010715093,-0.200462282
0.451064497,-0.010903369,-0.199979156
0.465614915,-0.010628874,-0.208583951
0.477483749,-0.00987513,-0.201832935
0.491026461,-0.010974439,-0.206514195
0.506557703,-0.01176601,-0.211032107
0.521300614,-0.013576517,-0.19647108
0.539061785,-0.015185116,-0.208013594
0.555643737,-0.01509337,-0.204292536
0.571446359,-0.013402903,-0.193711713
0.587866545,-0.01425406,-0.215689853
0.597161233,-0.014183338,-0.200317025
0.609703541,-0.013138962,-0.215524718
0.622475922,-0.011503393,-0.201218501
0.634198785,-0.012449119,-0.195374534
0.651126623,-0.013472605,-0.218269125
0.665600836,-0.014333867,-0.203210026
0.682781935,-0.013604818,-0.203730911
0.702145517,-0.012817,-0.219800606
0.717192233,-0.010663954,-0.200883701
0.735210359,-0.011461724,-0.215226278
0.753689647,-0.010210237,-0.213254124
0.773101985,-0.013641028,-0.202880189
0.792063653,-0.013668918,-0.209258646
0.81079036,-0.015713684,-0.203019038
0.832501233,-0.0149807,-0.220070302
0.849887669,-0.016347054,-0.217930585
0.868113518,-0.015206059,-0.203134716
0.887082219,-0.014870228,-0.220722467
0.904721022,-0.015351408,-0.224426851
0.919639647,-0.012791624,-0.207745239
0.939056695,-0.01385136,-0.22040008
0.955832958,-0.017266149,-0.21218738
0.973112702,-0.015868634,-0.219016761
0.991839767,-0.022438277,-0.22770758
1.007137179,-0.022079254,-0.22015509
1.026009321,-0.019795354,-0.232578188
1.039633036,-0.019288898,-0.226889342
1.052113414,-0.018883068,-0.206162542
1.067975521,-0.018518597,-0.228952527
1.080339432,-0.021613469,-0.231288642
1.089269042,-0.024361275,-0.222106948
1.097211838,-0.024217632,-0.23428987
1.103652358,-0.025057975,-0.224083558
1.114122391,-0.027458413,-0.235722274
1.124102831,-0.024384798,-0.231552541
1.133458257,-0.024225743,-0.221800864
1.146192789,-0.025672112,-0.233933747
1.155967236,-0.024163155,-0.223799899
1.166626811,-0.026040936,-0.22997956
1.174388409,-0.026454147,-0.235529929
1.181954861,-0.024692351,-0.222352579
1.19521153,-0.025245637,-0.235550299
1.207974672,-0.02670447,-0.234290496
1.222548246,-0.026609691,-0.222637385
1.239263892,-0.027272766,-0.235246241
1.256624341,-0.029254716,-0.230103657
1.272497416,-0.030324344,-0.226595998
1.289164186,-0.026377283,-0.242447585
1.30054307,-0.030739527,-0.222353876
1.316529632,-0.031413443,-0.240963355
1.328029752,-0.031457465,-0.245770559
1.33552444,-0.029737025,-0.22787343
1.341685295,-0.029544992,-0.235243395
1.341611624,-0.029054059,-0.225417823
1.342865705,-0.029108044,-0.238647044
1.341318846,-0.029509339,-0.249702424
1.33707118,-0.030760696,-0.22792837
1.336032987,-0.032363027,-0.244815126
1.334424853,-0.032294579,-0.240275756
1.332074046,-0.03252558,-0.22768566
1.332906961,-0.032082513,-0.238668919
1.331921577,-0.033747759,-0.236904293
1.329575658,-0.032383654,-0.2324889
1.329292417,-0.032080941,-0.232683167
1.328333378,-0.033305828,-0.22373715
1.326774836,-0.031276986,-0.238996997
1.32766366,-0.030887337,-0.248416826
1.32848525,-0.031002589,-0.225889847
1.326848149,-0.029918144,-0.239888385
1.327559948,-0.030093726,-0.227595538
1.328256607,-0.031669073,-0.242568314
1.327722549,-0.032451775,-0.249980897
1.328317523,-0.029544085,-0.229544595
1.328620791,-0.030941017,-0.242337644
1.327125549,-0.030586185,-0.239238068
1.329169154,-0.032278899,-0.227848262
1.32972312,-0.031855922,-0.244341031
1.329228401,-0.031324949,-0.232150972
1.334745884,-0.026629956,-0.228083268
1.343977332,-0.026419856,-0.244870558
1.350180745,-0.027888505,-0.22402212
1.360868692,-0.025383566,-0.240703776
1.371190548,-0.027648684,-0.238291159
1.378452063,-0.029867956,-0.230323136
1.386755586,-0.029801663,-0.239854231
1.389168978,-0.029341545,-0.234227821
1.394383073,-0.030294219,-0.239009738
1.404874921,-0.027209755,-0.241341159
1.410440564,-0.030934913,-0.229014114
1.413463354,-0.029460791,-0.2526564
1.415375113,-0.029380873,-0.242891684
1.415642381,-0.030063149,-0.229533881
1.415005565,-0.02807028,-0.241126016
1.418243527,-0.022925956,-0.2472554
1.424401999,-0.027368648,-0.232001051
1.428717732,-0.025558004,-0.249052167
1.432600617,-0.02537428,-0.239909545
1.434874773,-0.026338024,-0.241520762
1.434825778,-0.027947566,-0.247391477
1.437787533,-0.028309759,-0.232357532
1.440230966,-0.030569509,-0.247568995
1.438839436,-0.029162414,-0.250904292
1.440541148,-0.03008388,-0.236856401
1.441843629,-0.03009413,-0.257256836
1.443868637,-0.030021969,-0.234157503
1.446424603,-0.029431686,-0.25250721
1.448714972,-0.030947693,-0.253163576
1.45037818,-0.029912876,-0.233992428
1.453030705,-0.0288537,-0.242876992
1.454460382,-0.029521085,-0.236725762
1.45717907,-0.030554879,-0.248888969
1.464140058,-0.02690582,-0.251577437
1.481889009,-0.032413464,-0.234617457
1.509030819,-0.033112802,-0.252820671
1.538153648,-0.033059575,-0.249986276
1.560266733,-0.035014138,-0.242409855
1.573982716,-0.037048284,-0.259950161
1.583425283,-0.038342398,-0.240389571
1.594503522,-0.040887516,-0.257485241
1.603657007,-0.042136915,-0.268143803
1.613484859,-0.040807758,-0.249232665
1.622603893,-0.040483121,-0.26236403
1.62894237,-0.039966613,-0.260325223
1.632901907,-0.036263376,-0.244406164
1.63654685,-0.036626365,-0.257196099
1.637878895,-0.037279882,-0.251932025
1.639245987,-0.034850556,-0.250633717
1.643458247,-0.041140705,-0.271648735
1.642300606,-0.039412282,-0.230312705
1.643152833,-0.038051363,-0.25354898
1.642416477,-0.042816538,-0.259976208
1.640869021,-0.042110421,-0.243739843
1.639822006,-0.043187577,-0.253831804
1.638227224,-0.045415469,-0.255314708
1.638414979,-0.044227805,-0.27066493
1.638884187,-0.042833325,-0.26571852
1.640040755,-0.04407005,-0.251125246
1.638465405,-0.042384986,-0.263732255
1.636386275,-0.040618345,-0.259011358
1.637069702,-0.037039332,-0.238562763
1.636664867,-0.039031811,-0.257650435
1.636908293,-0.038264319,-0.253540516
1.637036204,-0.037091076,-0.241292
1.637740374,-0.036517523,-0.259534895
1.638668299,-0.037162971,-0.242124543
1.641298652,-0.03722664,-0.247843668
1.647407055,-0.03797473,-0.254164457
1.656936884,-0.038235065,-0.245962307
1.674504161,-0.03805,-0.25076133
1.692555308,-0.039546043,-0.24313949
1.711348772,-0.041072402,-0.262382865
1.733143568,-0.040366773,-0.263054758
1.750588655,-0.04236285,-0.252960742
1.770461917,-0.042576112,-0.268746614
1.790760636,-0.039925169,-0.266764224
1.807455659,-0.042244826,-0.249750048
1.821329117,-0.041341286,-0.271816432
1.834400773,-0.039131813,-0.272454858
1.843400717,-0.038289588,-0.25851053
1.856979847,-0.038220033,-0.276283026
1.869399905,-0.040469412,-0.258936226
1.88369453,-0.038968224,-0.270254672
1.896691322,-0.040683813,-0.273521602
1.907277346,-0.039916731,-0.245995656
1.91731298,-0.040483065,-0.270028591
1.926168203,-0.041430034,-0.253769577
1.939753056,-0.042065695,-0.269155025
1.952371478,-0.041637037,-0.259537816
1.967738867,-0.043785095,-0.25584507
1.988384247,-0.046651993,-0.268185079
2.010022879,-0.04574563,-0.265558839
2.02650404,-0.043489158,-0.253075063
2.043834448,-0.045688942,-0.274134904
2.058654785,-0.047649309,-0.27228117
2.071308374,-0.04549858,-0.271785021
2.082287312,-0.045573257,-0.283190638
2.094746351,-0.048255153,-0.265184909
2.106584787,-0.049072035,-0.276246428
2.119153976,-0.049311519,-0.273820758
2.129627943,-0.051528603,-0.246163085
2.145100117,-0.050934989,-0.269946575
2.155138016,-0.05206354,-0.273590326
2.168795586,-0.049972396,-0.272360921
2.181438208,-0.052197102,-0.281714439
2.195168972,-0.049517035,-0.273512244
2.209460735,-0.050976075,-0.283507556
2.22485137,-0.051750295,-0.273360252
2.238798618,-0.051222581,-0.26094991
2.253425598,-0.052758366,-0.273204267
2.269700527,-0.054458898,-0.272375315
2.285291433,-0.052095208,-0.284307659
2.299534798,-0.053697322,-0.290202826
2.311326742,-0.055061653,-0.272267252
2.328151464,-0.057269454,-0.281375527
2.338551283,-0.058492009,-0.282273531
2.348716021,-0.055954013,-0.269239783
2.358973742,-0.05542279,-0.296976626
2.371645927,-0.057698309,-0.284976482
2.377025127,-0.052583024,-0.27103436
2.387742996,-0.050282191,-0.282209903
2.396279573,-0.052367777,-0.264452964
2.40408206,-0.049823422,-0.279919982
2.40926218,-0.052492898,-0.269442737
2.414819002,-0.053140864,-0.261903644
2.421025515,-0.054765847,-0.278457284
2.427626371,-0.055191875,-0.261600673
2.44022131,-0.060620926,-0.276337594
2.450975657,-0.058596727,-0.278854668
2.459276199,-0.058613885,-0.266243696
2.470968008,-0.060706168,-0.287094295
2.48382163,-0.062232804,-0.276067346
2.498290539,-0.066073179,-0.265892506
2.511938572,-0.067785777,-0.28205809
2.524965048,-0.066023327,-0.28405875
2.537976503,-0.065992028,-0.266794562
2.548271179,-0.067340992,-0.289051056
2.562324286,-0.069830664,-0.259304166
2.57623601,-0.067521021,-0.285035372
2.590395451,-0.068543851,-0.284315407
2.604487658,-0.07066974,-0.269618452
2.618092299,-0.07290151,-0.287815213
2.628020287,-0.0720395,-0.269812107
2.641733408,-0.073763914,-0.275714219
2.653561592,-0.077726856,-0.275365204
2.661474705,-0.07435666,-0.271303773
2.673031807,-0.078058012,-0.284220695
2.683629751,-0.081491381,-0.277789295
2.691318274,-0.073220834,-0.265813649
2.703978777,-0.077031195,-0.286344647
2.712360144,-0.078562424,-0.269417644
2.71928215,-0.0707542,-0.283786148
2.728018045,-0.071785763,-0.285910159
2.733088493,-0.071319088,-0.272739083
2.740774393,-0.060794484,-0.287300825
2.748051643,-0.057792772,-0.293434083
2.755364895,-0.064684443,-0.270737946
2.764616251,-0.063808635,-0.292006046
2.772370577,-0.06420543,-0.278138846
2.779562712,-0.066286422,-0.288029969
2.784363031,-0.060593534,-0.293346465
2.790513039,-0.06139601,-0.27501905
2.795890331,-0.065202564,-0.290600657
2.799184084,-0.062629953,-0.285695881
2.801354408,-0.06452024,-0.273063183
2.801638365,-0.065833375,-0.284715056
2.802486181,-0.062659591,-0.279239684
2.80326128,-0.065859273,-0.289123237
2.800613642,-0.063635744,-0.29061228
2.800160885,-0.064435624,-0.27349335
2.799413204,-0.066252582,-0.289889842
2.798331499,-0.066953711,-0.284205735
2.79998374,-0.068343699,-0.264804065
2.799273729,-0.067388542,-0.281840533
2.79886651,-0.070678189,-0.26584059
2.799230576,-0.068325803,-0.281237185
2.798155069,-0.067502446,-0.282518685
2.79926157,-0.07095129,-0.265831709
2.798910856,-0.06928762,-0.279252112
2.798635244,-0.069139175,-0.278574288
2.797457457,-0.06808494,-0.263468146
2.797157049,-0.062714837,-0.280408829
2.798409462,-0.06592945,-0.266974658
2.795983553,-0.065366663,-0.290228546
2.796446323,-0.062516674,-0.29287082
2.797677517,-0.065426596,-0.276520282
2.798006773,-0.066225804,-0.281383932
2.798167229,-0.065276608,-0.285852015
2.797464371,-0.064944543,-0.271059096
2.798009872,-0.066481166,-0.278716326
2.796999216,-0.065593049,-0.272175372
2.797625303,-0.065461673,-0.278657347
2.797056913,-0.062791333,-0.279868364
2.797044039,-0.059748221,-0.276205629
2.800178766,-0.061535865,-0.277085066
2.800096512,-0.063398637,-0.273969173
2.799957514,-0.06087406,-0.260620743
2.799015284,-0.063007154,-0.275582552
2.799360514,-0.06644626,-0.267394483
2.799375534,-0.064702876,-0.277976692
2.797355652,-0.067583077,-0.286558151
2.796624899,-0.06811332,-0.268770814
2.796851635,-0.06481684,-0.282846689
2.795707464,-0.06531506,-0.283886611
2.796818256,-0.068567,-0.263878405
2.796635389,-0.063074291,-0.285337448
2.796851873,-0.060939603,-0.268007606
2.796694279,-0.062421523,-0.285930693
2.797591209,-0.063114323,-0.286899626
2.798670769,-0.065492436,-0.275345802
2.798161745,-0.067461438,-0.281867564
2.799301624,-0.068169348,-0.271767437
2.80021143,-0.069194615,-0.259159893
2.800275803,-0.068536513,-0.270579994
2.800052166,-0.06526798,-0.270386726
2.800267458,-0.064136058,-0.276035041
2.800076246,-0.065509476,-0.279898882
2.800550222,-0.066610374,-0.262457699
2.800121784,-0.066807307,-0.282735825
2.800186634,-0.067376375,-0.27925092
2.798907042,-0.065580584,-0.256891131
2.799560785,-0.066697352,-0.281448454
2.800939798,-0.069516592,-0.262971222
2.799791813,-0.068751954,-0.274771273
2.80061698,-0.069460273,-0.280848086
2.801467657,-0.070812598,-0.256669551
2.800401449,-0.068907112,-0.275836647
2.801203489,-0.068072647,-0.275285393
2.801627398,-0.068703569,-0.265317917
2.800203085,-0.066192366,-0.273455441
2.800602436,-0.066128224,-0.279915273
2.802485228,-0.070949778,-0.261665344
2.799377203,-0.065251365,-0.276946723
2.799293995,-0.065403193,-0.264885843
2.798434496,-0.069153652,-0.281852573
2.797418833,-0.068374738,-0.281668067
2.798361063,-0.067928672,-0.263668329
2.799970865,-0.07072676,-0.277658582
2.800122261,-0.071951956,-0.26423803
2.800034285,-0.070362531,-0.283020318
2.800456762,-0.072294362,-0.283170491
2.800338745,-0.075074703,-0.262739122
2.800168991,-0.072304912,-0.274960905
2.800743818,-0.072902337,-0.281012535
2.800008774,-0.073622636,-0.269574106
2.79967308,-0.069521591,-0.282512605
2.799351454,-0.072214521,-0.261614978
2.798883438,-0.069947176,-0.282886922
2.800107956,-0.074796319,-0.297048807
2.799616337,-0.072759658,-0.268342555
2.797634602,-0.067123905,-0.290287197
2.797006845,-0.066220745,-0.3015365
2.797557831,-0.066852413,-0.264569432
2.79567647,-0.063441679,-0.295086443
2.795990705,-0.066454165,-0.283092916
2.796426296,-0.065410994,-0.287242174
2.796136618,-0.064631872,-0.280593127
2.796099186,-0.066483743,-0.276798278
