x,y,z
0.001223272,0.001936492,0.000653742
0.000253872,-0.000305795,-0.006639151
9.41E-05,-0.001523621,-0.039054479
0.000330751,-0.001144022,-0.071228005
0.001055483,-0.002687854,-0.091249593
0.000749806,-0.004301465,-0.153840512
0.000706022,-0.003354745,-0.12390966
0.000855805,-0.004320691,-0.17520538
0.001376649,-0.004587058,-0.17409192
0.000663701,-0.002197017,-0.173126534
0.002021143,-0.003732939,-0.194738805
0.002717681,-0.00545835,-0.223933265
0.002690414,-0.0035806,-0.169445127
0.004305177,-0.004876879,-0.192163959
0.004001237,-0.00588381,-0.178643286
0.003325947,-0.003291709,-0.211655617
0.003531505,-0.005093792,-0.195854425
0.005524399,-0.004946332,-0.174237907
0.010442337,-0.005329676,-0.199516788
0.018466851,-0.006521959,-0.169682875
0.026980871,-0.006481117,-0.198442414
0.036645409,-0.004987267,-0.206802592
0.045547187,-0.006044006,-0.177811518
0.053060677,-0.00505966,-0.209843814
0.059062228,-0.002806515,-0.202645585
0.065676257,-0.005403978,-0.184900939
0.07266096,-0.003362351,-0.187439367
0.081089661,-0.003568236,-0.188338384
0.091002896,-0.005630364,-0.178918123
0.100380741,-0.00541941,-0.1893543
0.108141616,-0.004446173,-0.168976009
0.12431208,-0.005117797,-0.210776731
0.137123033,-0.00610422,-0.19786188
0.148313969,-0.005509045,-0.186104715
0.162809119,-0.007707095,-0.206109837
0.173605531,-0.008103841,-0.207283303
0.181215569,-0.007694443,-0.188996196
0.191389292,-0.008440206,-0.204753473
0.197580099,-0.010811413,-0.183319315
0.2045248,-0.011455761,-0.2025664
0.210235119,-0.01156464,-0.203025728
0.21257703,-0.013492424,-0.200246274
0.213284627,-0.015704041,-0.200738147
0.217654616,-0.013952314,-0.180434614
0.228108615,-0.016070541,-0.211208612
0.244686395,-0.019059777,-0.209930003
0.264883965,-0.015986718,-0.183081239
0.289953619,-0.021549363,-0.223436967
0.313864797,-0.021877298,-0.214977577
0.333904743,-0.019602515,-0.202212811
0.349687696,-0.022385273,-0.206969604
0.359042495,-0.022857092,-0.2013015
0.36618638,-0.020442601,-0.198151603
0.372932583,-0.024535393,-0.205422625
0.377370179,-0.025182361,-0.181841865
0.381654322,-0.021903405,-0.207138613
0.38210234,-0.022978503,-0.202419385
0.380540103,-0.025058344,-0.185380951
0.381028414,-0.021164868,-0.209393978
0.378814548,-0.023334153,-0.194192946
0.381680429,-0.023071242,-0.213905618
0.386175662,-0.023610365,-0.236903086
0.389334619,-0.023464108,-0.196668565
0.392664105,-0.027335839,-0.214786738
0.391863942,-0.022955339,-0.207767621
0.392369151,-0.023673074,-0.179440141
0.395141274,-0.02519045,-0.225503832
0.39613837,-0.02315047,-0.202616736
0.399610132,-0.025448104,-0.194729373
0.404362798,-0.026609357,-0.218621641
0.409828663,-0.023125263,-0.192727774
0.415951401,-0.023909602,-0.218462765
0.423295796,-0.025214082,-0.203159615
0.43237865,-0.02339112,-0.184913427
0.442651957,-0.024455205,-0.231356725
0.451809555,-0.025227718,-0.195299312
0.462538511,-0.02204334,-0.220226422
0.473457754,-0.024147522,-0.21232
0.481402844,-0.023792693,-0.185695082
0.489700705,-0.024282202,-0.206748098
0.498124748,-0.022545775,-0.217538878
0.503798604,-0.024694175,-0.18752718
0.511787593,-0.024118811,-0.22011213
0.519753635,-0.024789589,-0.220540896
0.52757585,-0.026127296,-0.193391383
0.539925456,-0.024176601,-0.210215151
0.554828167,-0.025811262,-0.19210507
0.571786642,-0.028508341,-0.226391926
0.57938534,-0.026135217,-0.206802204
0.583643496,-0.027131855,-0.193211734
0.589754045,-0.027657399,-0.212794617
0.590038598,-0.025935641,-0.207456186
0.592615664,-0.025466129,-0.227360576
0.593256593,-0.025624935,-0.216117054
0.593605042,-0.028781023,-0.191746369
0.603298426,-0.028975366,-0.227802888
0.613521099,-0.028927173,-0.228303671
0.622745097,-0.026876604,-0.194537386
0.635719776,-0.026633717,-0.218579784
0.645724118,-0.026800154,-0.210776195
0.655518949,-0.026452862,-0.191894501
0.667311788,-0.028312083,-0.233911276
0.675482929,-0.026690686,-0.200978607
0.688963294,-0.02598116,-0.225524738
0.700406492,-0.025733879,-0.227977037
0.712337255,-0.025068223,-0.208593145
0.724362969,-0.025576998,-0.212138489
0.733581364,-0.024116306,-0.19034268
0.74691987,-0.021659283,-0.23629342
0.75628078,-0.025225826,-0.213385925
0.765292287,-0.023825409,-0.203047782
0.771840394,-0.021388629,-0.226574391
0.780232131,-0.024228577,-0.222480103
0.785703003,-0.022235131,-0.191554889
0.79451561,-0.020764992,-0.226833507
0.802825987,-0.024810959,-0.224157631
0.812133312,-0.02344228,-0.204592004
0.825300515,-0.025213234,-0.222506911
0.83619529,-0.025297627,-0.194426104
0.850811601,-0.020615034,-0.228726581
0.859941363,-0.020806657,-0.216303095
0.867252648,-0.024939727,-0.2029403
0.880446076,-0.025372297,-0.226507083
0.89213115,-0.025386231,-0.23947075
0.898284316,-0.026830982,-0.214081958
0.90801239,-0.026134966,-0.218706325
0.916288018,-0.023942934,-0.200626627
0.928926468,-0.02329877,-0.234285831
0.935178399,-0.024657261,-0.239272714
0.93598479,-0.023798011,-0.203917339
0.937920868,-0.023872539,-0.214641362
0.937190294,-0.025863616,-0.21284312
0.938414216,-0.025757736,-0.224328041
0.939144075,-0.024826152,-0.245590851
0.939779937,-0.025476992,-0.206412196
0.951742887,-0.029314745,-0.244347602
0.962404728,-0.029624082,-0.222726345
0.97518903,-0.029885158,-0.198745221
0.992512822,-0.029463591,-0.234542772
1.002724171,-0.031079436,-0.229710549
1.013977766,-0.032063581,-0.203895554
1.028581858,-0.033942524,-0.241430536
1.033617973,-0.035247847,-0.213657334
1.043668985,-0.034957342,-0.242456898
1.049524546,-0.035405926,-0.239281312
1.055952907,-0.037969176,-0.219583482
1.067486763,-0.038304973,-0.253123939
1.077123761,-0.039010122,-0.225503996
1.085364461,-0.038922101,-0.218174726
1.093459129,-0.037966352,-0.242190167
1.099381804,-0.039004784,-0.216508985
1.103282809,-0.038073637,-0.232793316
1.106137753,-0.037691284,-0.261081249
1.109450459,-0.039695445,-0.223722041
1.113836169,-0.039438136,-0.230940759
1.116663218,-0.04128566,-0.2253526
1.124697685,-0.041511256,-0.246647671
1.131588221,-0.042808097,-0.241924569
1.138900399,-0.041420136,-0.216293603
1.151789784,-0.042142186,-0.245808482
1.161112905,-0.039610796,-0.243132025
1.168414712,-0.039913904,-0.22378473
1.179244637,-0.03974627,-0.239565983
1.183820963,-0.041854963,-0.22461009
1.188141227,-0.042605743,-0.242580831
1.190964937,-0.042009655,-0.236608192
1.192664027,-0.042511828,-0.241609529
1.194816947,-0.041464813,-0.249935582
1.196044922,-0.040529564,-0.2356572
1.197631359,-0.042726103,-0.219722331
1.198876619,-0.041920777,-0.245144337
1.202998519,-0.043663274,-0.264280111
1.208840847,-0.046528749,-0.228426069
1.217714429,-0.045910854,-0.24222973
1.228631496,-0.044274274,-0.214437619
1.24061799,-0.044884454,-0.249889061
1.247795224,-0.046566613,-0.238126412
1.253809571,-0.046136424,-0.222927511
1.265170574,-0.04940277,-0.247635394
1.27492106,-0.048665199,-0.242798358
1.282086849,-0.046563692,-0.228020325
1.292268395,-0.048197307,-0.262340546
1.298917651,-0.046138518,-0.23504965
1.30989027,-0.045532655,-0.237724587
1.317382336,-0.047125831,-0.259365261
1.322307467,-0.048439581,-0.232655048
1.329307914,-0.047099456,-0.265608013
1.333468318,-0.045808617,-0.247986987
1.33810699,-0.048824687,-0.222753882
