x,y,z
0.00100739,-0.001472107,-0.00047163
0.000604606,-0.001241402,-0.008936259
0.00019337,-0.001092723,-0.034661353
0.000493238,-0.000700509,-0.051800739
0.000326957,0.00182706,-0.11542245
-0.00059093,-0.000116221,-0.116165265
0.000406399,-3.06E-05,-0.154869005
-0.000127562,-0.000559133,-0.165825278
0.000392003,-0.001594353,-0.14954932
0.001295642,-0.002294524,-0.190270439
0.001012176,-0.001671045,-0.195425138
0.001658062,-0.00200269,-0.182127908
0.001857231,-0.001531848,-0.185680673
0.000779178,-0.000419528,-0.168607384
0.001036204,0.001106844,-0.191711694
0.000975054,-0.000781902,-0.181281239
-0.000166252,0.000318238,-0.174791425
0.000632101,-0.000428286,-0.196728691
0.00052533,0.000256862,-0.197879419
0.000283113,-0.000118803,-0.186998367
0.001184939,-0.001139109,-0.189430058
0.003875623,-0.000929924,-0.201911569
0.006114179,-0.000126966,-0.162001818
0.012849172,0.001524137,-0.197314829
0.017870486,0.001569473,-0.161993429
0.024945753,0.002261947,-0.190307349
0.031959485,0.000673811,-0.204127878
0.036731284,-0.000239526,-0.179158717
0.042528767,0.000702983,-0.201632857
0.048612632,-0.000903487,-0.169269159
0.059294574,-0.001338779,-0.199453816
0.066842824,0.000665618,-0.196066082
0.07198555,-0.001291634,-0.168947965
0.079263046,-0.002651029,-0.190094173
0.085655972,-0.004903731,-0.197372258
0.092804201,-0.006921552,-0.168034509
0.10905879,-0.00922088,-0.233816877
0.118545488,-0.006791151,-0.170291945
0.136982545,-0.008261633,-0.190159693
0.151702181,-0.007397281,-0.202503294
0.162219957,-0.007714157,-0.179788068
0.172155187,-0.010033309,-0.194742426
0.178723559,-0.010564304,-0.205800384
0.18095848,-0.010020409,-0.166583568
0.187432989,-0.011985731,-0.174391747
0.193355665,-0.012887916,-0.192713425
0.196014553,-0.012213288,-0.16852963
0.203088656,-0.012592976,-0.204912469
0.207746297,-0.013208269,-0.185566843
0.216109291,-0.01223147,-0.198243067
0.224683672,-0.011015946,-0.198737726
0.230806708,-0.012830311,-0.180840731
0.239746198,-0.013758095,-0.196907863
0.246025309,-0.013364668,-0.185261026
0.251848876,-0.013884769,-0.19668901
0.256067485,-0.01516062,-0.196107864
0.260256737,-0.015589256,-0.184887305
0.263596535,-0.015694026,-0.200403214
0.268681169,-0.016487377,-0.195332691
0.271693379,-0.016290344,-0.187564805
0.273359269,-0.017067358,-0.203267992
0.275063872,-0.016508253,-0.182921767
0.27939108,-0.018106274,-0.195117176
0.284934342,-0.016363863,-0.211358562
0.291705132,-0.018485622,-0.180047825
0.301347792,-0.019655854,-0.202419087
0.307419419,-0.018742666,-0.203960389
0.314256608,-0.020388858,-0.181397066
0.322157025,-0.021618631,-0.206876785
0.32747668,-0.020761617,-0.186068833
0.336034834,-0.02344282,-0.200488329
0.343465924,-0.021785676,-0.205177441
0.348517388,-0.021847446,-0.184339821
0.355408609,-0.024726238,-0.204306707
0.360819697,-0.023135725,-0.207389757
0.36457172,-0.019254763,-0.176567018
0.369105816,-0.020253472,-0.190035969
0.374576509,-0.018552193,-0.20445092
0.378536671,-0.017304154,-0.184122816
0.384181589,-0.018702492,-0.228172377
0.385976374,-0.018779,-0.184215531
0.393578172,-0.019659396,-0.211093366
0.398932576,-0.018489672,-0.195737481
0.405833244,-0.017368333,-0.175474033
0.415147781,-0.014423467,-0.198691994
0.421584219,-0.016426196,-0.181042284
0.432929814,-0.017146565,-0.215107381
0.439304858,-0.016778816,-0.200661778
0.44743222,-0.020236213,-0.1867304
0.457143426,-0.020419871,-0.210196331
0.463147432,-0.018002139,-0.204957366
0.467955709,-0.019127771,-0.185087204
0.474900514,-0.017393425,-0.214456022
0.480543107,-0.018588638,-0.185254216
0.489373147,-0.017681433,-0.221875563
0.494500875,-0.018841023,-0.207590789
0.499740422,-0.018149748,-0.186317518
0.507845402,-0.017686507,-0.231486171
0.512864351,-0.022424001,-0.226733848
0.517106056,-0.020365192,-0.194625005
0.522838712,-0.020765327,-0.208023772
0.526590943,-0.021612549,-0.194714427
0.532822251,-0.020619355,-0.228111193
0.538026273,-0.020792887,-0.211237401
0.542932928,-0.023537792,-0.195173785
0.550517023,-0.021080205,-0.197896525
0.558860123,-0.021921158,-0.219157189
0.565619528,-0.021812452,-0.194586456
0.574145615,-0.020879824,-0.204869464
0.580135584,-0.021066699,-0.200040638
0.586940348,-0.020273102,-0.199371472
0.591258287,-0.0190244,-0.226297811
0.595256627,-0.019138604,-0.195661828
0.599903345,-0.018615469,-0.217314005
0.603189945,-0.016123973,-0.225219369
0.608636379,-0.016493438,-0.20171991
0.616637945,-0.016689271,-0.224344909
0.62139672,-0.016771924,-0.2106179
0.625598371,-0.017753001,-0.223461136
0.627455473,-0.018572506,-0.217600599
0.627532363,-0.019257268,-0.197139084
0.62791431,-0.019641658,-0.223246261
0.627866089,-0.019048868,-0.23625274
0.626982212,-0.019233396,-0.215591878
0.624934435,-0.018353689,-0.220624685
0.624518871,-0.021096492,-0.196321025
0.622875214,-0.018426189,-0.22251825
0.623058915,-0.018776111,-0.223271087
0.624015033,-0.019080993,-0.19842115
0.621885538,-0.01726291,-0.2278312
0.622179329,-0.020774702,-0.214600652
0.621515572,-0.022422645,-0.210532293
0.621300042,-0.02076217,-0.210312054
0.622463107,-0.021042198,-0.205070138
0.621545017,-0.017270915,-0.238014877
0.621376276,-0.016517624,-0.227589384
0.623245478,-0.017814629,-0.193301097
0.623055339,-0.017434301,-0.229573697
0.622972548,-0.017731002,-0.216427684
