x,y,z
-1.96E-06,-0.000257704,-0.000973764
-0.000245741,-0.001478386,-0.011368918
-0.001038836,-0.000909439,-0.033189807
-0.001973058,-0.000778506,-0.068564698
-0.002254075,0.000825271,-0.099421158
-0.001804203,0.000579081,-0.133460194
-0.002096805,0.001214982,-0.154834136
-0.001623458,0.000704247,-0.145964682
-0.00155125,1.37E-05,-0.171566024
-0.001924324,0.001573683,-0.201011822
-0.002043366,0.002099203,-0.170186922
-0.002261255,0.000665429,-0.198477492
-0.004034594,0.0019895,-0.181324884
-0.003613814,0.000985147,-0.19418852
-0.002339514,-0.000324442,-0.193656549
-0.002078474,-0.000605054,-0.16934602
-0.001207713,0.001274229,-0.191896886
-0.001192731,0.001857367,-0.1896272
-0.00170228,0.001473101,-0.162129909
-0.002308532,0.002097561,-0.19280757
-0.001825664,0.00163873,-0.171591952
-0.000427076,0.000497075,-0.199960634
0.001033026,-0.001955226,-0.18397963
-4.14E-06,-0.001068679,-0.166304052
0.000279465,-0.001371996,-0.189707145
-0.00056728,-0.000776,-0.187360063
-0.000900157,0.000255928,-0.168141991
-0.001362721,0.002129417,-0.193045378
-0.001618917,0.003270939,-0.182719454
-0.001555751,0.002899473,-0.187269837
-0.001371117,0.002950017,-0.200761259
-0.001386048,0.000956032,-0.174754798
-0.001452613,0.000707477,-0.196677491
-0.001634585,-0.000989221,-0.193833962
-0.000594102,-0.001577029,-0.159404561
-0.001002073,-0.000975259,-0.186470315
-0.001912571,0.000668277,-0.162909836
-0.000415402,0.003405,-0.207464948
-0.000231891,0.002085307,-0.17746374
-0.001042248,0.002695847,-0.171776667
-0.001253875,0.002887824,-0.194236115
-0.000958047,0.001803101,-0.183550045
-0.001982579,0.001132747,-0.164723352
-0.002643419,0.001539668,-0.194163471
-0.001793514,0.00115956,-0.180391997
-0.003910122,0.002002625,-0.174911991
-0.003281455,0.003295014,-0.183229089
-0.002639309,0.000859102,-0.16571936
-0.001627268,-0.000354743,-0.199019819
-0.001115501,-0.00234928,-0.19005011
0.000167927,-0.001772218,-0.164707631
-0.002261999,0.000470291,-0.179179892
-0.002351936,0.000604644,-0.173837379
-0.002269131,-0.000113433,-0.189172506
-0.002537734,8.35E-06,-0.182483405
-0.001980829,-0.000741849,-0.166804969
-0.000949347,0.001054807,-0.196540371
-0.001340915,0.00126692,-0.182372302
-2.05E-05,0.000359598,-0.171150461
-0.000586299,4.34E-05,-0.192660093
-0.002046566,0.001513412,-0.180023879
-0.002495404,-0.000412611,-0.163725331
-0.002085899,-3.07E-05,-0.184166953
-0.002198682,0.000998717,-0.164623618
-0.003424574,-0.000123564,-0.187705651
-0.002734246,0.000575223,-0.185313463
-0.003813623,0.000832976,-0.172356308
-0.003437146,-0.000821635,-0.181597441
-0.002304144,-0.001333716,-0.171645373
-0.002594049,0.000209026,-0.198135197
-0.002407265,-0.000454253,-0.177260667
-0.001565126,0.000967054,-0.169042706
-0.000626268,0.001121113,-0.192490563
0.002013364,0.00040853,-0.1893951
0.005636499,0.001457011,-0.162142351
0.010760264,0.000529798,-0.180216596
0.016714407,0.001255843,-0.189295933
0.020180039,0.001864585,-0.181733415
0.0229498,0.001897928,-0.185104281
0.025339535,0.001908474,-0.164039567
0.029538536,0.001521017,-0.18396914
0.031815194,0.003706912,-0.189025208
0.03378281,0.004334473,-0.174937323
0.038135268,0.003434903,-0.202933028
0.03897984,0.003030299,-0.166511953
0.041736446,0.003967451,-0.190944567
0.048019767,0.004014127,-0.180398464
0.054041736,0.002826629,-0.165596887
0.062286388,0.001181983,-0.183123231
0.072564773,0.001576978,-0.187510118
0.082232997,0.00417713,-0.179502964
0.096771352,0.002113207,-0.204618052
0.109861173,0.001684016,-0.178839341
0.120069735,0.000212404,-0.165851653
0.132116303,0.001240614,-0.188906923
0.142572626,0.002438589,-0.202848688
0.150172397,0.004726139,-0.185834646
0.160281196,0.004432067,-0.179963604
0.168799624,0.003548365,-0.161526382
0.179023936,0.00621939,-0.17466037
0.188149899,0.007856792,-0.166846141
0.204143301,0.008517754,-0.203674346
0.216392323,0.010768272,-0.18961975
0.2279668,0.013401254,-0.181193992
0.242352217,0.013599119,-0.202022642
0.252530158,0.013548759,-0.186958849
0.261701137,0.015789779,-0.169369072
0.276727974,0.01491465,-0.206739426
0.289328426,0.014914934,-0.191427752
0.301920384,0.015567406,-0.169837102
0.319875926,0.01569074,-0.206958815
0.333748311,0.016591828,-0.182304934
0.351763695,0.018555699,-0.206919029
0.364355654,0.020072229,-0.196981251
0.375247568,0.020797884,-0.181028068
0.386835694,0.022749495,-0.184403956
0.398829073,0.023560788,-0.193181619
0.407896578,0.024256863,-0.184985384
0.419669926,0.024968734,-0.203335196
0.427760363,0.027705681,-0.18884927
0.437395453,0.027930647,-0.209441915
0.445374429,0.028957644,-0.206570938
0.451078892,0.029049505,-0.184583709
0.459932506,0.029860957,-0.206046447
0.463883996,0.029527325,-0.174542129
0.471135229,0.030924201,-0.206982702
0.474993199,0.030345352,-0.217679247
0.478537202,0.030186391,-0.17750594
0.48687163,0.031474408,-0.207795575
0.497040421,0.032371994,-0.214698419
0.504726827,0.033724573,-0.182118461
0.515718818,0.034507982,-0.210460007
0.522404432,0.035138447,-0.184873253
0.530676961,0.035879731,-0.209801406
